screen_name, location, created_at, description
ubcgrandprix,Vancouver; BC,Fri Apr 08 07:25:24 +0000 2011,July 10; 2012. Part of BC Superweek; The Original 16 UBC Grand Prix will feature a Criterium race open to Pro/Am cyclists; a Kids Race and Corporate Challenge
jess_pan,Vancouver,Sat Jul 09 06:21:42 +0000 2011,#CommunityActionInitiative program coordinator; #UBC master of health administration candidate; @EHLVancouver events coordinator; recycler; dancer & foodie 
Impark,,Wed Jun 03 04:09:10 +0000 2009,Impark is one of the largest parking management companies in North America; operating over 2;000 parking facilities in 34 cities in Canada and the U.S. 
MusingUrbanist,Vancouver; BC,Thu Aug 26 20:03:37 +0000 2010,Urban planner based in Vancouver with a broad interest in urbanism mainly in Canada and UK but also worldwide.
LouandLiz,,Fri Jul 23 20:44:39 +0000 2010,Two gals in Grade 11 trying to change the world; one coffee mug at a time.
spacingvan,Vancouver; B.C.; Canada,Fri Jun 24 15:28:46 +0000 2011,Spacing Vancouver examines the joys; obstacles & politics of the urban landscape in B.C. @Spacing Canadian Magazine of the Year 2007-09.
ShawnCEvent,Vancouver; Canada,Sat Jul 31 04:27:08 +0000 2010,Learnaholic; Arts/culture fanatics; Apprentice in event and tourism industry. Crazy for food; wine and travel. Dream big.  
YuriArtibise,Vancouver; BC,Wed Aug 13 01:37:14 +0000 2008,I'm a policy analyst; blogger; urbanist & community manager who is re-discovering what #Vancouver has to offer. I also tweet for @PlaceSpeak and @SpacingVan
Viva_Van,Vancouver; BC,Tue Apr 19 20:56:35 +0000 2011, Imagine if you transformed popular Vancouver streets into public spaces that attracted people to spend more time on the street! That's Viva Vancouver!
gstring,ÜT: 49.258956;-123.139171,Wed Jan 30 22:07:37 +0000 2008,An East Coast boy living a West Coast dream.  The opinions expressed here are either mine; or were found amusing by me. Nobody else. Well. Some others; maybe.
hjwucga,Lower Mainland; BC; Canada,Fri Apr 02 04:32:12 +0000 2010,Full service CGA firm providing auditing; accounting; tax; + more for businesses and non-profits. English; Taiwanese; Mandarin; & Hakka. T: 1.604.636.1862   
mdobrinskaya,Vancouver; BC,Thu Jun 09 22:29:30 +0000 2011,Politics. Food. Vancouver. Baby.
tenektech,Vancouver; B.C. Canada,Thu Jul 16 00:52:44 +0000 2009,Living Vancouver; enjoying multi cultural life; food; events from a Latin perspective
daedae1320,,Thu Jan 06 18:24:18 +0000 2011,
karensawa,,Mon Nov 29 02:22:34 +0000 2010,Newly returned to and ready to rediscover #YVR. Interests: writing; editing; plain language; urbanism; sustainability; community; food; social justice & crafts.
AVancouverBus,Fare Zone 1,Sat Jun 04 04:27:31 +0000 2011,The People's Chariot
2011_Challenge,Metro Vancouver,Fri May 06 23:05:44 +0000 2011,From June 5 to 11; companies encourage their employees to commute sustainably. Register your organization today!    
modo_carcoop,Vancouver; BC,Wed Nov 17 21:43:19 +0000 2010,It's not what you drive; it's what you share.
advantagefleet,Chilliwack; BC,Mon Feb 21 07:54:31 +0000 2011,AFSI provides transportation-related training and services across North America and helps clients manage their fleet: it saves to be safe!
CS_SFU,Vancouver; BC,Wed Mar 02 19:14:54 +0000 2011,Adult students from Vancouver and beyond have been learning with SFU Continuing Studies for 40 years. We have campuses in Burnaby; Vancouver and Surrey; BC.    
Velopalooza,Vancouver; BC,Thu Apr 22 05:43:02 +0000 2010,Velopalooza is 17 days of bikey fun. Go to our site to post a ride for Velopalooza this year! 
CityStudioVan,Vancouver BC,Sat Apr 09 03:14:45 +0000 2011,  CityStudio Vancouver is an energetic hub of learning and leadership where students design and implement Greenest City projects.
iamin_between,Vancouver; Canada,Sun May 22 03:42:44 +0000 2011,Vancity - Japan
MetroVanFD2,MetroVancouver/FraserValley,Sat Apr 09 17:26:44 +0000 2011,Reporting on All Fire Department Related incidents in Metro Van; and Fraser Valley; such as MVA's; Structure Fires; etc. These tweets are my own opinion.
zannalyons,Vancouver Canada,Thu Feb 12 21:07:22 +0000 2009,connecting people and decision-makers : change communication : sustainability governance : online citizen participation
cupacorn,Summer Night Market; Richmond,Wed Mar 09 01:22:36 +0000 2011,Unveiling the supreme quality of fresh non-cut corn kernels flavoured by the finest ingredients; to bring you the deliciously yummy steamed flavoured corn
GrittaniLiving,Vancouver,Sun Aug 22 22:39:11 +0000 2010,Lover of big trees and blue skies; sub-par stand-up paddleboarder. New & enthusiastic Vancouverite with fondness for Whistler and TO. Opinions here my own.
XinYuHe,Vancouver,Sun Dec 20 04:58:52 +0000 2009,=___________________+
TranBC,British Columbia; Canada,Tue Oct 19 02:58:31 +0000 2010,Sharing and discussing what the BC Ministry of Transportation & Infrastructure does & why we do it to move people & the economy. Check road info @DriveBC
natallulah,#yyc (where i can't escape),Wed Mar 03 05:10:48 +0000 2010,Man; I really wish I had something good to tell ya.
danie_bagel,Vancouver; B.C.,Tue Apr 05 04:34:32 +0000 2011,UBC Honours Political Science Graduate; Sparks Guider; dairy-free foodie; politics junkie; outdoors lover and sleep enthusiast. 
UrbVancouverite,White Rock,Tue Oct 19 08:42:02 +0000 2010,Urban Geography enthusiast; photographer; urbanomics; real estate; business; personal growth...tweeting about the #NHL and #cdnpoli and #bcpoli
BGIslander,Vancouver; BC,Wed Dec 01 04:49:34 +0000 2010,BGI is an innovative company that provides consulting; design; installation and maintenance of EVSE equipment for homes; businesses and municipalities.
thebusloop,Vancouver; BC,Tue Mar 08 04:27:08 +0000 2011,Passionate user of transit and hand sanitizer. Observations and opinions by @Sanda_Noronha.
GregorsGreenBK,Vancouver; BC,Mon Dec 06 01:50:41 +0000 2010,Inspirational quotes to rally Vancouver's people & city staff on Gregor & Vision's bold Green Plan. We will educate you. You will understand. You will follow.
kirky_D,Vancouver; BC,Sun Oct 18 01:01:02 +0000 2009,Structural EIT; soccer player; Sparks Guider; runner; snowboarder; geek; lover of books; food; the outdoors and much more.
itswictor,Vancouver; BC,Fri Feb 18 06:40:21 +0000 2011,Proud German Shepherd owner (Moose). Canucks; Giants. Photography; Walking Dead; SCII. Studying Television & Video Production @BCIT
WESTAC,Vancouver,Wed Mar 04 08:54:51 +0000 2009,The Western Transportation Advisory Council (WESTAC) is dedicated to advancing Western Canada’s economy through improvements in transportation. 
MarnieMcG,Vancouver B.C.,Mon Mar 02 01:25:43 +0000 2009,Urban Planner; Community and Stakeholder Relations Advisor; News Junkie.
travelsmart,Burnaby; BC,Mon Jul 07 06:22:54 +0000 2008,Celebrating Metro Vancouver’s delicious buffet of sustainable transportation choices. Dig in to tools & solutions to suit your lifestyle.Tweets by Sarah Loewen.
teachingtammy,Vancouver,Sat May 05 05:29:57 +0000 2007,Teacher; learner; globe trotter; wannabe techie; auntie to cutest baby girl ever; world's most amateur beginner triathlete; ex-expatriate but still exploring. 
SauderNetImpact,Vancouver; BC,Tue Feb 01 00:00:13 +0000 2011,
LaPir0,Vancouver - Hermosillo,Fri Jan 15 04:06:56 +0000 2010,Blogger; Media communicator  @Latincouver;  Photography; Music and Adventure Lover... Hermosillo - Vancouver www.flickr.com/photos/lapir0/
AdamHyslop,Vancouver; BC,Mon Apr 27 03:01:37 +0000 2009,Planner; Urban Design Nerd; General Enthusiast
sammy_sez,Vancouver; Canada ,Tue Sep 29 17:47:14 +0000 2009,Communications consultant; Games and event specialist in Vancouver. BC columnist for The Curling News.
FalseCreekFerry,Vancouver; Canada,Mon Dec 20 00:41:54 +0000 2010,The original little blue ferries of False Creek. Providing Vancouver & Granville Island with year-round commuter and sightseeing ferry service since 1982.
UBCRobsonSquare,Vancouver; BC,Mon Nov 01 19:36:50 +0000 2010,Located in the heart of Vancouver. Book your next event at UBC Robson Square! --------------------------------------------------------------------------------  
brihui,Toronto; ON; Canada,Mon Apr 13 06:05:56 +0000 2009,2nd year Graphic Communications Management at Ryerson University in Toronto. Born and raised in Vancouver!
nlamontagne,Vancouver - LA,Mon Feb 23 13:54:30 +0000 2009,City Planner / Urbanist / Student (PhD @ UCLA)  Fascinated by the many random things that makes cities interesting and wonderful places to be and live
Vancouver_Adam,Vancouver,Sat Apr 11 18:58:14 +0000 2009,Transportation professional; cycling advocate; urban critic and future developer.   Never stop riding.
sarahmross,Vancouver,Fri Feb 05 20:21:49 +0000 2010,Transportation Planner; Mother; Cyclist; Urbanite; Partner; Daughter; Technological Laggard; Aunt; etc
VancouverFit,Vancouver; BC,Wed Jun 02 17:33:07 +0000 2010,Ideal Body Training offers personal training in a fully-equipped gym. We specialize on nutrition training; personal progressive programs
NaomiDevine,Vancouver; BC,Sat Dec 06 22:00:54 +0000 2008,@Ride2Rio Rider. Former Whistler2020 Sustainability Planner. @AlGore trained climate presenter. BC Climate Action Team. Adventurer. 
brodiesovereign,Vancouver,Sat Mar 13 22:01:22 +0000 2010,Cyclist; book-lover; gear-freak...who's very partial to homemade soup and a certain crafty feline nick-named 'the mini-panther.'
echaudaily,vancouver; bc,Sat Jan 30 18:36:36 +0000 2010,a montrealer at heart; radio journalist; foodie
rbrtwhite,Delta/Vancouver; BC,Wed Mar 05 05:09:50 +0000 2008,photographer. interaction designer/developer. architectural dreamer/urbanist. lover of metro vancouver. i also run the weekly Nicholson Rd feature on @VIAwesome
itcaughtmyeye,Vancouver; Canada,Tue Aug 31 00:17:46 +0000 2010,west coast urban enthusiast seeks resilience and thrivability. food from your garden; a stable climate and a postcard from somewhere awesome would also work. 
pre_planner,Vancouver,Tue Sep 14 05:05:50 +0000 2010,25. Interested in Urban Planning; Transit; Politics; History; etc.     Starting at SFU's Urban Studies graduate program this January.     Also a big nerd. 
hobsonlin,Vancouver; BC,Mon Mar 03 08:00:10 +0000 2008,For the next while; I'm going to live and breathe @SFULipDub as the assistant to the producers. | As an aside; I'm an @SFU student studying @SFUCMNS.
lorene1voice,Vancouver BC,Tue Jun 24 01:12:52 +0000 2008,I am being the change I want to see in the world.
jpiwowar,Vancouver; BC; Canada,Sat Sep 20 01:10:38 +0000 2008,Is: Husband; dad; traveler; cyclist; beersnob; pragmatist; word nerd; insanely lucky; PIT transplant to YVR. GeeksOn: Mac; Oracle; Linux; Virtualization.
RoundhouseCC,Vancouver; BC Canada,Wed Oct 07 23:19:43 +0000 2009,2010 & 2011 winner of the Straight's Best Community Centre Award. Arts & recreation centre built in 1888. Home of Engine 374. Located in historic Yaletown.
bccycle,British Columbia; Canada,Wed May 12 06:47:11 +0000 2010,The British Columbia Cycling Coalition represents the interests of cyclists in BC.
BTArchitects,ÜT: 49.286482;-123.047878,Sat Feb 20 00:38:25 +0000 2010,The official Bing Thom Architects Twitter Account as maintained by Andy and Weison. We're on Facebook too...www.fb.me/bingthomarchitects
MetroVanCycle,Metro Vancouver; BC,Tue Oct 27 01:42:53 +0000 2009,We're the Vancouver Area Cycling Coalition - Your Metro Vancouver Bike Advocates: making cycling an integral part of the transportation culture
perkinswill_VAN,Vancouver BC,Fri Dec 18 19:02:31 +0000 2009,Perkins+Will Canada is an integrated architecture; interiors; and planning firm.
CC_Vancouver,Corporate Champions Vancouver,Tue Apr 20 00:18:49 +0000 2010,Building Workplace Teams; Promoting Health & Wellness & Connecting Organizations through the Power of Sport. Tweets by Sunny Pao (SP) and Andy Nguyen (AN). 
jmtoriel,Vancouver; Canada,Fri Oct 03 05:15:49 +0000 2008,Agent of Change for a greener world and a healthier planet
greenestcity,Vancouver,Wed Feb 25 22:39:40 +0000 2009,Stay tuned as the City of Vancouver works out how to become the greenest city in the world by 2020.  Let us know your thoughts!
604homesguy,Vancouver; BC,Sat May 26 04:07:14 +0000 2007,Dad of 3; Vancouver real estate consultant (Royal LePage Westside); and blogger. Running on the seawall early in the AM and mtn biking the N. Shore when I can.
fzlu,Vancouver; BC,Sat Dec 12 06:13:11 +0000 2009,主にメモとつっこみ
ctmagnus,iPhone: 51.296131; -116.963102,Fri Mar 23 03:56:31 +0000 2007,Currently doing computer support but looking to get into design. Not a fan of my own handwriting but quite possibly of yours. Internet; etc.
emital,,Sun Dec 28 18:38:45 +0000 2008,
MikeSoron,Vancouver; BC,Mon Apr 16 03:28:50 +0000 2007,the planet; social justice; & the city.
downtownvan,Downtown Vancouver; BC,Tue Jan 05 18:10:09 +0000 2010,I am Downtown. Updated by Ivy Fong; ivy@downtownvancouver.net
heyrickie,Vancouver; Canada,Sun Nov 02 03:01:29 +0000 2008,Transit geek. Runner. Canucks fan-for-life. Doctor Who enthusiast. Accountant (unemployed). Music lover. Wannabe photographer. Armchair traveller. History buff.
krystlesivorot,Vancouver; British Columbia,Mon Jun 23 22:08:22 +0000 2008,west coast geek. social media lover. dance enthusiast. foodie. 
victorngo,Vancouver; Canada,Fri Dec 12 09:06:38 +0000 2008,Geography & Urban Studies student at UBC. Passionate about cities; community development and urban sustainability.
AnthonyFloyd,Vancouver; BC,Wed Mar 12 04:30:12 +0000 2008,Dad to 2 boys; aerospace engineer; python code monkey; bike commuter; geocacher; political observer; and Maritimer in exile. Gen-X. @GwenFloyd's SO
counti8,Vancouver; BC; Canada,Thu Mar 22 15:52:46 +0000 2007,student of urban planning looking to social media up places; contributing at TransLinked.com. Thesis is a four-letter word.
Chris_Keam,Vancouver; BC,Thu Jan 29 16:24:37 +0000 2009,seeking creative challenges; interesting colleagues; profitable enterprises
tylorsherman,Vancouver; British Columbia,Wed May 23 23:24:19 +0000 2007,Keep on Creating. Software engineer; building @DenimAndSteel
PrecastPavement,International,Tue Sep 20 19:48:28 +0000 2011,Super-Slab® is a precast slab on grade system used for rigid and flexible pavement replacement. 
publiconline_ca,Metro Vancouver; BC,Tue Mar 06 03:44:20 +0000 2012,Our goal is to nurture local design arts industries by informing consumers of the array of options available to them.
hydrobiking,False Creek ; Vancouver,Thu Apr 21 18:49:41 +0000 2011,New business coming soon to False Creek in the City of Vancouver.  Vancouver Hydrobikes and Pedal Boat Rentals.  Why bike when you can Hydrobike.  
JenSmileyface,Vancouver; BC,Sun May 31 08:18:26 +0000 2009,a Geoscience student; a movie buff and a sports/food lover.
Graham_Vancity,Vancouver; BC,Tue Jan 24 09:49:37 +0000 2012,Project-starter & social entrepreneur. Loves Vancouver; sustainable transportation; co-ops; and progressive politics.
notwithoutit,Canada!,Fri Mar 13 20:21:53 +0000 2009, Ed student. 
WalkMetroVan,Metro Vancouver; BC; Canada,Thu Dec 01 17:27:30 +0000 2011,WalkMetroVan promotes walking as key to creating sustainable healthy places to live.
CharleneMeliss,,Fri Dec 02 20:18:23 +0000 2011,Passionate about social and environmental justice; sustainable community development; art; social change; and inspiring alternative visions for the future.
KelvinBudgie,Vancouver Canada,Sun Dec 21 23:21:12 +0000 2008,
CoVYouth,Vancouver; Canada,Wed Aug 25 18:55:52 +0000 2010,This is the page for www.vancouveryouth.ca; the City of Vancouver's website for young people: events; programs; services; volunteer opportunities; and more! 
yaletowndude,Vancouver,Fri Dec 03 16:07:51 +0000 2010,Yaletown resident interested in following all things Vancouver and beyond.
1888burntout,Delta,Tue Mar 23 19:49:24 +0000 2010,YOUR IMAGE IS YOUR BRAND; YOUR BRAND IS YOUR PROMISE!
susandkirk,Vancouver; BC,Sun Mar 02 15:45:11 +0000 2008,Marketing Communications + PR pro in Vancouver; Cda. Working w/ tech; healthcare; real estate; environment; Cariboo Chilcotin. Living in White Rock; BC
BrentRein,Vancouver,Fri Sep 04 01:24:09 +0000 2009,
CoVFoodPolicy,Vancouver,Thu Sep 01 21:26:02 +0000 2011,We advance food systems goals in the City of Vancouver including the ways in which we produce; access; prepare; eat and dispose of food. 
sharontwiss,Vancouver,Sat Apr 11 00:28:52 +0000 2009,content strategist | technical communicator | instructional designer | sock knitter 
ShannonLaBelle,Vancouver; BC,Tue Oct 20 16:44:35 +0000 2009,Museum librarian; voter; arts lover; movie watcher; and dabbler. Blogging over at Car-Free Vancouver.
theresabeer,Vancouver,Mon Sep 27 18:10:20 +0000 2010,Communicator with passion for environment; planning; social capital and Vancouver. 
lana_meredith,Vancouver; BC; Canada,Fri Jun 17 16:11:14 +0000 2011,I will love Vancouver rain. I will. I love everything else about this city. Writer; blogger; cancer fighter; sports fan; & pie-maker (well; just when it rains).
boydcohen,Buenos Aires; Argentina,Sun Nov 28 21:42:45 +0000 2010,Boyd Cohen; Ph.D.; co-author of Climate Capitalism is a climate strategist encouraging the low-carbon economy and smart cities. Contributor to Fast Company.
romanda9,Vancouver,Mon Apr 11 17:02:18 +0000 2011,
City_Rental,Canada,Wed Jun 08 12:44:15 +0000 2011,Canada's Classifieds site for finding apartments for rent; homes for sale; house rentals and real estate for sale. Like our FB Page at http://on.fb.me/koibup
Natashac49,Oklahoma,Fri Mar 25 08:07:51 +0000 2011,
KyleMcStravick,Winnipeg,Sat Sep 25 16:24:30 +0000 2010,A Victoria native in Winnipeg to study city planning. Watch me watch you.
SustyEditor,Vancouver; BC; Canada,Thu Jun 02 19:44:04 +0000 2011,Shana Johnstone is an editor; writer; and designer of sustainability communications. Follow for a curated list of new sustainability books; reports; and plans.
MeganKofoed,Vancouver; BC; Canada,Fri Apr 10 01:34:34 +0000 2009,I love science; believe in a sustainable future; see a piece of myself in everyone; and enjoy random encounters with ridiculousness out in the world.
JimRoutledge,Nanaimo BC Canada (Vancvr Isl),Sun Jun 21 05:43:50 +0000 2009,small d developer/builder in Nanaimo; BC; big dreams to see community grow and prosper
dwoodbcic,Vancouver; BC,Thu Dec 16 23:13:28 +0000 2010,Programs Manager; BCIC. Focused on activities that support the BC entrepreneurial ecosystem.
andrewa99,Edmonton; Alberta,Sun Jan 24 20:08:51 +0000 2010,Thoughts and ideas in transit ... from a Civil Engineer/ Urban Geographer/ Transportation Policy Wonk
wooduh,Ottawa; ON,Thu Jan 06 05:29:59 +0000 2011,i'm the Dutch-Vietnamese Canadian 007 fighting evil with organic food & political knowledge...instead of golden guns
Aquabus,Vancouver; Canada,Tue Dec 01 00:57:11 +0000 2009,Providing frequent and friendly ferry service around False Creek and Granville Island. Cyclists welcome!
DavidJohn83,Vancouver,Fri Feb 20 22:24:50 +0000 2009,
pcffvancouver,Vancouver,Fri Feb 25 20:20:38 +0000 2011,The Projecting Change Film Festival focuses on promoting green & sustainable living through the use of issue-based films & inspiring speakers. April 17-22; 2012
alexsherry23,Vancouver,Thu Jan 29 22:49:03 +0000 2009,.5 Canadian .5 American =Alex ...I enjoy sports; music; games; & fun...
karlaklo,Vancouver; BC,Fri Feb 25 18:45:14 +0000 2011,The more I see of this wide world of ours; the better I understand my place in it.
cvollanRize,Vancouver; BC,Thu Jan 27 04:23:25 +0000 2011,VP Development at Rize Alliance; Vancouver.  Urbanist; snowboarder; sailor; engineer; traveller; burner; dog servant...  IMAGINE CONSTRUCT PROGRESS
Curranne,Vancouver,Fri Dec 11 05:40:02 +0000 2009,Policy analyst interested in real estate development; urban planning and design.
StopThePave,Coast Salish Territories,Thu Mar 05 09:05:39 +0000 2009,The grassroots movement for better transit; not freeways! (formerly GatewaySucks.org)
alexetch,Victoria/Vancouver; BC,Wed Apr 08 03:15:23 +0000 2009,law student with an interest in all things west coast.
athenadevi,,Wed Nov 03 23:32:42 +0000 2010,I am an on-line educator and course developer of languages; psychology and sustainability at the Vancouver Learning Network.
davidjhen,Vancouver,Thu Feb 25 05:49:55 +0000 2010,PhD in sustainable community development stuff. Author of Sustainability Greenprint. Otherwise kayaking; skiing and puddle jumping with my family in Vancouver.
murrayforward,Vancouver; BC,Thu Jun 10 22:48:56 +0000 2010,music & concert freak/geek; location sound guy; cyclist; and modest thinker from Vancouver; BC; Canada
CrazySustCommut,Vancouver; Canada,Fri Jul 23 01:34:16 +0000 2010,The Crazy Sustainable Commute is a campaign to get us all thinking creatively about fun eco-friendly alternatives for our daily travel. Think outside the car!
VanRealDeal,,Sun Feb 22 21:41:33 +0000 2009,Vision Vancouver City Councillor; biologist; singer; camper; cyclist.
VIAwesome,Vancouver BC Canada,Tue Apr 28 04:36:16 +0000 2009,Things that make Vancouver awesome! Tweets by V.I.A. editor/founder; @BobKronbauer
urbanimpulse,Victoria,Thu Jun 25 23:17:17 +0000 2009,overtly individual; covertly traditional
leftcoaster,Vancouver,Wed Nov 19 18:13:50 +0000 2008,Westcoast semi-geek and new mama with a love of sports; outdoors; and food & wine. (Also available in biz size as @indenter)
PanoramaRetreat,British Columbia; Canada,Wed Feb 22 22:56:48 +0000 2012,Located in the province of British Columbia; 191 miles (308 km) west of Calgary; Alberta. Panorama was founded in 1962 by Guy Messerli; of Invermere; and some 
tonychang,Vancouver; BC,Mon Dec 10 18:14:42 +0000 2007,
MaxWilliamT,,Mon Feb 23 19:14:22 +0000 2009,Born and raised in YVR;    studied poli sci;    work in communications/PR;    interested in all things extraordinary.    This is a personal account.
RidewithNick,Vancouver; BC,Fri Feb 04 19:44:38 +0000 2011,Hey All; I'm the Orientations Coordinator with the Ride to Conquer Cancer. I'm an experienced cyclist and fund-raiser and love supporting this AMAZING Cause!
JeremyKeyzer,Montreal; QC,Fri Sep 02 17:56:16 +0000 2011,
KyleBraun,,Mon Aug 24 17:57:44 +0000 2009,
danielsalex,world,Thu Mar 05 03:51:35 +0000 2009,
Dan_Ulloas_USA,America,Tue Jul 27 21:03:03 +0000 2010,Political Organizer & Reporter
jeremyhopwood,Vancouver,Sat Jan 10 04:40:48 +0000 2009,
Brandonlisik,Vancouver; BC,Thu Oct 22 18:02:13 +0000 2009,Biology; Technology; and Creativity!
SarisariSarah,Vancouver Island,Tue Jun 14 21:42:02 +0000 2011,An Albertan lured by the gorgeous West Coast; I'm currently working towards a Geography degree at VIU. 
