screen_name, location, created_at, description
msjenlee,Vancouver,Wed Apr 01 15:55:34 +0000 2009,When not working for a large Canadian lawfirm doing IT hardware support; I enjoy making yarn; gardening; and being one of the cheapest people alive.
anthonyctaylor,Vancouver Canada,Sun May 10 17:14:47 +0000 2009,Working on turning a BBA into an MBA. I help small business owners grow. Sports; food; nightlife and language make my life fun. Go bears!
roboman51,Vancouver,Mon Jun 22 07:03:08 +0000 2009,
CameronBJohnson,Vancouver; B.C.,Mon Apr 27 21:03:34 +0000 2009,Editor; book reviewer; and wordslinger. I likes me a good story.
PreetLady,49.276831;-123.01023,Tue Jan 19 05:59:15 +0000 2010,Born and Raised In Vancity; East indian (Dont let the pic fool you) 5'5 brown eyes; smile like the sunrise!
neilnijjar,Vancouver,Wed Feb 25 19:31:56 +0000 2009,Hockey and Sports
mandablemac,vancouver bc | canada,Thu Jun 11 05:05:10 +0000 2009,Group Marketing + Communications at Wesgroup Properties. An observer of all things and captain of the road less traveled.
m_candy,Vancouver & Victoria; B.C. ,Wed Jan 23 18:52:11 +0000 2008,Day-of-Wedding Coordinator at @WestwoodPlateau. CMNS Account Exec. Always on the Hunt for Inspiration and Adventure. In the process of transforming my life. 
mm75,New Westminster; BC,Thu May 29 05:39:24 +0000 2008,Austrian turned Vancouverite; computer geek (Un*x rules); traveller; foodie
kneoh,Vancouver; BC,Sat Jan 03 22:50:21 +0000 2009,Geek. Foodie. Project coordinator. Leopard gecko owner. Canucks fan. Solutions generator. Ubuntu user. Allergic to most nuts and fresh fruit.
thestevequilala,EAST VAN,Wed Jun 25 17:33:10 +0000 2008,Award-winning designer. Aspiring copywriter. UBC student. Apple fanboy. Canucks and Habs fan. Offensive defenseman. Cat person.
matwilcox,Toronto,Tue Oct 21 17:14:28 +0000 2008,Media; news; business; entrepreneur; social media enthusiast. 2008 & 2009 Canada's Most Powerful Women: Top 100. I'm a minimalist with a whole lot of excessive.
bartdebaere,Vancouver/Europe,Tue Nov 25 04:30:23 +0000 2008,Geek. Yogi. Avid traveller. PhD student @UBCGradSchool. Volunteer @YouthCo. Lover of cute dogs and pain au chocolat snob. Favours hugs over handshakes.
skillman,Vancouver; Canada,Wed Jun 06 21:20:43 +0000 2007,Unix/Email/Zimbra geek; IT architect at SFU; cyclist; vegetarian and occasional renovator
charenton_,Vancouver; B.C.,Sat Feb 21 21:48:23 +0000 2009,I'll verb your adjective noun.
kerryod,White Rock; BC,Wed Sep 10 02:23:28 +0000 2008,King of Procrasti
speakerss,48.48062;-123.321298,Thu Jan 15 21:31:17 +0000 2009,The stories and information posted here are artistic works of fiction and falsehood. Only a fool would take anything posted here as fact.
SamirInVancity,Vancouver; BC; Canada,Thu Feb 12 21:05:14 +0000 2009,Boarder; Surfer; Sailor; Traveller; Gamer
opendna,Online,Mon Jul 28 00:10:17 +0000 2008,Still not convinced Mosaic or the 14.4 modem were a good idea.
rmountaineer,Vancouver; BC Canada,Wed Dec 10 20:09:53 +0000 2008,The world's leading travel experience by train! Tweeting from our head office in Vancouver; BC. 
fantasyfinds,Vancouver,Thu Jul 31 16:23:13 +0000 2008,HR person @CBC by day. Principal @ www.fantasyfinds.com by sunset; Diva & Friend by night.  Note: Posts = personal opinions. Don't hate.
adelaro8,Burnaby BC,Wed Jun 17 22:48:55 +0000 2009,things i like:  sushi. media & pop culture. yoga. music.  things that make me angry: smoking in public spaces.
JenniferMoreau,Vancouver,Sat Apr 19 21:40:34 +0000 2008,Burnaby NOW reporter/feminist/Argentine tango dancer
paulc,Burnaby; British Columbia,Sun Mar 11 07:09:45 +0000 2007,Software developer slash telecom guy slash radio guy slash chill out king; depending on the day. Mine's a Stella; cheers! 
theprovince,Vancouver; B.C.,Thu Sep 18 04:21:32 +0000 2008,Online companion to Vancouver's daily tabloid; The Province. The web team manages our Twitter account.
jminter,Vancouver; BC,Mon Feb 09 06:19:33 +0000 2009,Airline Marketing Director;   Indecisive Gemini: I try to see it all On The List checking out Sounds; Sights; Sports; Socializing  Tweets are my own opinions.
BobRansford,Vancouver Canada,Tue Jan 05 20:05:26 +0000 2010,Communications;public affairs & urban development specialist at COUNTERPOINT Communications Inc.New urbanist designer and writer.Steveston Canada resident.   
chanherb,,Wed Dec 23 05:53:07 +0000 2009,Beer; baseball; politics; urban issues; economics; transportation; food; sustainability. 
carlynicol,Vancouver; BC,Thu Jun 25 04:47:47 +0000 2009,Storyteller; animal lover & anti-gluten-ite.   Currently a PR consultant. Former CKNW talk show producer. Always looking for a good story. 
BrianYanMuk,Vancouver; BC; Canada,Tue Jan 13 10:32:04 +0000 2009,BBA Candidate @SFUBeedie @SFUSurrey; All Out SIFEr @SIFEsimonfraser; Chair @BeedieBMP; Advisor @BeedieFROSH; Marketing Manager; Mobile & Web @tiobillpay
themarina,Vancouver; BC,Mon Feb 26 20:06:39 +0000 2007,Movies; books; music; TV & random tweets about tech; cars & Vancouver. But mostly movies. Loads of movies.
ScienceWorldTR,Vancouver; B.C.,Tue Aug 18 20:28:25 +0000 2009,Science World British Columbia Teacher Resources - tweets moderated by Kate Henderson; science teacher. Science World is also tweeting from @scienceworldca 
jdcasa,Vancouver,Sat Apr 26 00:06:57 +0000 2008,Italian-Canadian mashup of food; travel; old Calabria and the wisdom of nonnas. Social media for good not evil. And same-sex immigration pioneer.
darrylh,Vancouver; BC; Canada,Thu Jun 07 16:04:12 +0000 2007,Age group gold medalist.
erin_gee,Vancouver,Wed Feb 11 21:45:34 +0000 2009,blogger @ hausofhybrid.com - co-founder @DefineMag - founder @OutInStyleYVR - hustler for @JobSprout & @goyiiip - views are my own & not of my employer
bc_living,Vancouver; BC; Canada,Tue Sep 16 23:32:58 +0000 2008,The voice of bcliving; exploring the lifestyles and interests of Metro Vancouver and the province of British Columbia.
SauderISIS,Vancouver; BC,Tue Apr 07 20:29:17 +0000 2009,ISIS; Sauder School of Business; UBC.   'Advancing social innovation and sustainability’ 
RobPattzNews,Worldwide,Tue Feb 10 00:58:34 +0000 2009,Latest news on Rob's current and future projects. Appearances; interviews; music. EW PopWatch: Required reading for Twihards *NOT ROB PATTINSON*
dennisworld,Vancouver; BC,Fri Mar 23 21:38:00 +0000 2007,Everything green; Traveling; Mobile Internet; Photography; Hiking; Ultimate; Snowboarding; Opportunistic vegetarian; Sailing; Biking; Diving; Audiobooks
MikeKlassen,Vancouver BC Canada,Sun Oct 12 17:54:52 +0000 2008,Writer; urbanist; husband; dad; community guy; gardener; wine lover. Full bio http://bit.ly/uELZrP
cotty9,Comox; BC; Canada,Thu May 29 23:29:05 +0000 2008,
CoreyL,,Sun Mar 04 01:08:27 +0000 2007,
Jesswakeman,Vancouver; Canada,Tue Mar 10 23:04:55 +0000 2009,I'm into music; tech; marketing; & online brand strategy. Oh and I work in marketing at @HootSuite
stephenhui,Vancouver,Thu Jul 31 23:40:16 +0000 2008,Web editor and technology editor at the Georgia Straight. Email shui@straight.com. http://www.straight.com/
BuckyHermit,Vancouver BC; Canada,Tue Jul 07 03:13:29 +0000 2009,Anaheim Ducks fan from Vancouver. I invade places with Anaheim Ducks towels (see website). I tweet Ducks history @ 7pm Pacific.
DennisTT,between 127.0.0.1 and a cloud,Tue Dec 02 01:28:32 +0000 2008,software developer (web/mobile). core team member @sfxyyam. council member @successylm. former developer @mybbgroup. transit enthusiast.
thebuzzer,Burnaby; BC,Tue Jan 13 21:25:49 +0000 2009,I'm Robert Willis; editor of the Buzzer: Vancouver's free transit newsletter since June 2; 1916. (Follow @translink for key transit updates!)
jmv,New West; British Columbia,Wed May 23 14:35:01 +0000 2007,Curator of http://illustratedvancouver.ca/
chatkiller,,Wed Mar 11 18:06:34 +0000 2009,I'm the kid you never see 
freshcitron,Vancouver + Kanazawa 日本,Wed Feb 25 12:04:22 +0000 2009,Formerly @kurichan17. Self-portrait photo-capturer; vegan & long-sleeve shirt wearer. Fan of Canucks; WhitecapsFC; LiverpoolFC; Mariners; Red Sox & STLCardinals
vpsn,Vancouver; BC,Sun Apr 26 23:38:09 +0000 2009,The Vancouver Public Space Network is a grassroots; volunteer collective engaging in advocacy; outreach & education on public space issues in Vancouver. 
DixonTam,Vancouver; BC; Canada,Sat Mar 17 01:43:08 +0000 2007,Ex-journalist now working w/ @SFU media relations (@sfupamr). Love Apple gadgets; sports & '80s music. Volunteer w/ @fiveholeforfood. Opinions here are mine.
rtanglao,Vancouver; British Columbia,Tue Jan 23 06:47:35 +0000 2007,create compelling content constantly! - do it!
EllenYeung,Vancouver; B.C.,Mon Dec 15 07:21:47 +0000 2008,I'm particularly interested in stories about creativity; community development; and media.
jensaltman,Surrey; B.C.,Sat Mar 06 03:29:36 +0000 2010,Surrey/New Westminster court reporter at The Province newspaper. Knitter; food blog reader; cat lover.
Surrey604com,,Sat Feb 25 06:01:02 +0000 2012,The Future Blogs Here - a lifestyle blogazine featuring Surrey BC; Canada. 
popagranda,Coast Salish Territory/Vancity,Sat Apr 18 23:49:41 +0000 2009,a community project.
LizHoath,,Tue Jun 14 17:01:15 +0000 2011,CBC Radio Producer for The Current - Canada's #1 radio interview show.  
briankbc,Vancouver BC,Wed Nov 26 18:41:31 +0000 2008,Web Analytics.What's your business question?  Before opening a report; have a question the report is to answer.  Views aren't necessarily those of Cardinal Path
sarcasticommute,On the bus; and in traffic,Mon Feb 13 19:05:59 +0000 2012,I share the frustrations of the daily commuters
thevancouvemove,Vancouver; BC; Canada,Tue Jan 10 00:02:12 +0000 2012,A wannabe Vancouverite finding my feet in the city of Vancouver; in Canada. @benaston writing hints + tips for getting yourself set up and sorted in Vancouver
victoraustin71,Vancouver BC,Wed May 13 00:17:59 +0000 2009,39 yr old single parent to my 10 yr old BabyGirl who I love so very much!!!
604Pulse,British Columbia; Canada,Wed Mar 02 04:02:57 +0000 2011,Providing you with inspiration to get out and explore the Vancouver; Coast & Mountains region of BC. Blogging & tweeting by @BCRobyn for @VCMBC.
Alex_Orue,Vancouver / Mexico City,Fri Jun 26 00:11:41 +0000 2009,Blogger; Activist  Atheist; Gay & Latino. Contributor to the @nytimes' Bestseller  @ItGetsBetter Book; @Cher devotee & a @christopherhitc's loyal 
magnumreno,parksville bc,Fri Oct 21 08:29:36 +0000 2011,
thetransitfan,Vancouver,Thu Aug 27 00:58:39 +0000 2009,John Calimente - writer; TransitFan column; Spacing Vancouver Magazine. Mass transit; biking; walking; transit integrated communities + multi-modal urban life.
LegacyLiquor,Vancouver; BC; Canada,Fri May 21 00:14:00 +0000 2010,The largest privately-owned liquor store in BC | Located in the beautiful Village on False Creek
ShaneGrover,Langley bc,Tue Oct 04 03:52:12 +0000 2011,fun person likes swimming all sports hanging out with friends having fun!!!
JKageorge,Vancouver,Thu Feb 05 17:56:11 +0000 2009,Strategist for Vital Communications; a consultancy focused on stakeholder engagement and issues management for companies in the US and Canada.
nickamado,iPhone: 49.284554;-123.125183,Mon Oct 13 20:10:02 +0000 2008,My name is Nick. I like an assortment of things - technology; social media as it evolves; photography; vintage VW's & anything to do with my better well being.
nathancullen,Smithers; B.C. / C.B. ,Tue Sep 16 06:40:07 +0000 2008,Member of Parliament /  Député - Skeena-Bulkley Valley. Candidate for the leader of the NDP / Candidat à la chefferie du NPD.
tpoole00,Burnaby bc,Mon Nov 22 01:41:43 +0000 2010,I am a huge canucks fan and was born missing my right arm and three fingers on my left hand; pt of l hand as well
aartipole,Vancouver,Wed Sep 29 22:21:38 +0000 2010,CBC Vancouver TV Reporter & Weekend Radio newsreader 88.1 FM/690AM.  Thoughts; RTs and updates are my own expressions. Story ideas welcome!
SpeakinOfSafety,Vancouver; BC; Canada,Tue Jan 12 01:45:08 +0000 2010,I'm Susan Main & my blog is SpeakingOfSafety.ca. I share stories from people behind the scenes of workplace health and safety. 
hopeter1,,Wed Jan 18 18:06:05 +0000 2012,
CBCEarlyEdition,Vancouver; BC,Wed May 12 13:32:43 +0000 2010,The Early Edition runs 5:30-8:37 am weekdays on CBC Vancouver 88.1 FM & 690 AM. Contact us: 604-662-6690 or earlyed@cbc.ca. Tweets are from our show producers.
ebbymohseni,Vancouver,Sun Sep 06 08:04:35 +0000 2009,Actor; voice over; TV and radio producer; host; emcee; filmmaker; festival organizer; event coordinator
shamelesshussy,Vancouver; British Columbia,Wed Apr 23 19:06:30 +0000 2008,Theatre Company: Chirps from ensemble member & co founder Deb Pickman
VancouverBCBuzz,Vancouver;BC,Fri Dec 30 22:25:55 +0000 2011,Local newsworthy stories; entertainment; events and more from Vancouver; BC and the Lower Mainland.
hardkor004,,Sat Oct 02 13:14:25 +0000 2010,
projectchung,Vancouver,Tue Jan 10 16:32:08 +0000 2012,Learn to let go; else prepare to be dragged.
hundalraj,Surrey; Canada,Sun Apr 03 18:01:00 +0000 2011,Surrey-Tynehead NDP Candidate. Formerly a political aide to Penny Priddy; MP for Surrey North and elected Vancouver Park Board Commissioner (2008-2011).  
WorkSafeBC_News,Richmond; BC,Thu Apr 08 20:12:29 +0000 2010,Occupational health & safety content; story ideas & resources for media from WorkSafeBC Media Relations. Contact: 604-214-6394
MandiSellers,Vancouver British Columbia,Wed Mar 16 19:38:32 +0000 2011,Passionate in providing creative learning solutions to fit your organizations needs!  With us you Experience the learning and Own the knowledge!
YoDidds69,Vancouver ,Sun Nov 14 19:59:20 +0000 2010,
dance2life,Surrey; BC,Thu Nov 11 22:56:58 +0000 2010,
BarbaraKinsell1,,Fri Dec 30 20:56:21 +0000 2011,
nswashsystems,Inglewood; CA,Thu Dec 08 18:50:34 +0000 2011,NS Corporation has been designing and building rugged; dependable vehicle wash systems since 1961. 
El_taco_paco,Taco bell,Mon Jun 27 05:54:32 +0000 2011,I can't figure out tweet. Tell me what's good...
nauticalnaughty,Minas Tirith,Tue Oct 18 18:40:39 +0000 2011,Twisted; sexually frustrated sailor with a rotten heart
DG_BC,Vancouver; BC,Mon Apr 27 22:13:50 +0000 2009,Day time member of Corporate America; night time lover; music fiend and craft beer aficiando. My tweets are compelling and infrequent 
Vancouver_Plus,Vancouver BC,Sat Apr 09 05:14:50 +0000 2011,バンクーバーの観光情報を提供してます.　よろしくお願いします.
billysnowshoe,,Tue Nov 29 02:08:42 +0000 2011,
kylabelle,,Wed Jan 28 01:36:46 +0000 2009,
KevynTC,|  VANCOUVER,Wed Dec 23 09:40:24 +0000 2009,Live simply so that others may simply live. 
shanynmaguire,Vancouver Canada,Fri Apr 17 23:21:06 +0000 2009,I get up at 4:30 am every morning and I know TRAFFIC Sky/ground I'll help you get where you need to go! I'll tweet accidents; NEWS and my sporadic randomness =)
SafetyAndSecCOT,,Thu Oct 27 11:07:03 +0000 2011,The safety and security news; reviews and discounts feed. We share insights; reviews; popular product links; daily discounts and news.
Bustosorry,Vancouver,Wed Nov 16 02:04:02 +0000 2011,I ride the B-Line twice a day. Every day. And almost every day something happens that makes me laugh. Or go Hmmmm..... 
Seepy1,,Wed Apr 07 16:19:08 +0000 2010,
SheShannon,,Fri Oct 28 21:38:57 +0000 2011,
mywoundedrhymes,Canada,Sun May 10 01:20:23 +0000 2009,Proud Muslim; hijabi; Somali; Canadian; female; Phrateres member Φ; and #UBC (Arts) student! 
Gh0stfac3Ki11a,,Sun Apr 18 01:10:37 +0000 2010,
CTVDuane,Vancouver,Tue Oct 27 19:01:00 +0000 2009,Weather Anchor @CTVBC
Lemerific,Vancouver; BC,Sun Nov 06 20:38:45 +0000 2011,
clurnarn,Vancouver ,Thu Oct 20 08:48:15 +0000 2011,cupcakes. kitty cats. food. farting
AvedaRobson,Vancouver; Canada,Fri Dec 31 20:27:25 +0000 2010,We are a full service Aveda Salon. We are  trained professionals using high performance; botanically based products... better for you and the earth!
zatara1997,surrey;bc,Sat Sep 24 06:29:07 +0000 2011,A DIFFERENCE MAKER:BUILDING A LIFE OF SIGNIFICANCE; AND CREATING A LEGACY OF REAL VALUE; MEANS BEING WILLING TO GET YOUR HANDS DIRTY. HAKUNA MATATA 
lindzmarsh,Vancouver;Coast Salish Land,Mon Feb 23 22:29:58 +0000 2009,#Sustainable community developer; #RRU #intercultural communication grad student; #diversity trainer; #queer activist in #Vancouver; lover of #haiku
StopSmrtMeterBC,,Wed Sep 07 00:43:30 +0000 2011,
barraclou,Montreal,Mon Feb 08 06:48:41 +0000 2010,The official Barraclou.com account. Les nouvelles les plus récentes de / Latest news from Barraclou.com; LaPremiereLigne.com; Autoroutes.info & GrosChars.com.
SweetMustard,,Wed May 19 21:46:16 +0000 2010,
OutAndAboutYVR,Vancouver; BC,Fri Jul 22 20:12:46 +0000 2011,Seeking opportunity in: Business Development Management; Sales Management; Marketing; Customer Engagement / Relations
GlendaWH,British Columbia; Canada,Wed Aug 01 02:07:08 +0000 2007,Specializing in accessibility on the web and in real life. I'm your accessibility conscience!
nskapski,,Fri Oct 21 03:14:35 +0000 2011,
CanAmSecurity,Vancouver BC,Tue Oct 18 19:46:23 +0000 2011,CanAm is an industry leader in providing contract security; consulting; investigation; K9 detection & patrol;  risk management in Vancouver BC & Abroad.
MISSINGofCANADA,Canada,Fri Oct 14 02:50:54 +0000 2011,I am not associated with any law enforcement agencies in Canada. My sole intent is to bring exposure to missing persons or children and help to them home.
ChinesePants,,Sat Oct 15 22:53:04 +0000 2011,
ladyocean1,Vancouver;British Columbia,Tue Nov 03 01:24:03 +0000 2009,Paramedic and pre-med student ( BSc Bio and BSc Chem).....I am a lover of cooking; reading; photography; yoga; running; the ocean and exploring Vancouver.
SgtJennPound,Vancouver,Mon Dec 06 02:43:11 +0000 2010,Jennifer Pound is currently posted as the spokesperson for the Integrated Homicide Investigation Team (IHIT)
joshlavoie,Sydney,Wed Jan 23 10:44:17 +0000 2008,amateur politico. socially progressive; fiscally rational. #cdnpoli #canucks and nerd-dom.
geoff_turner,Vancouver; BC,Sat Apr 18 14:44:02 +0000 2009,I produce public radio for CBC in Vancouver. 
Garossino,Vancouver,Tue Aug 23 03:10:24 +0000 2011,Sandy Garossino on civic affairs. Sandy ran as an Independent candidate for Vancouver City Council in 2011.    
langleymayor,Langley; BC Canada,Tue Jan 19 05:20:16 +0000 2010,Standing for a third term as #Mayor of #Langley City. http://www.facebook.com/ReElectPeterFassbender
vanvotes,Vancouver; BC,Sat Oct 01 23:27:16 +0000 2011,A resource for info; issues + candidates from the #vanelxn. Developed & managed by the @vpsn. An info site: We are not endorsing a specific party or candidate. 
SurreyBCRealtor,Surrey BC,Sat Sep 24 05:27:47 +0000 2011,Surrey Real Estate Expert. Your Realtor of Choice for Buying or Selling a home in Surrey; White Rock; or Greater Vancouver; BC.
CTVBCtraffic,Vancouver,Wed Apr 06 17:50:33 +0000 2011,Beat the Traffic with Ann Luu   on CTV Morning Live
RobinCookBondy,Vancouver; BC,Tue Mar 17 18:06:16 +0000 2009,PR Consultant; BCIT PR Instructor; news junkie; mom; wife; passionate communicator and coffee lover (but not in that order!)
TPSystems,Vancouver; BC Canada,Fri Mar 05 18:49:37 +0000 2010,Consulting; Managed Services; and Software. As your trusted partner in Vancouver and Victoria; we measure our success by your success.
davebeckley,,Fri Sep 23 05:42:43 +0000 2011,
Sia_Adjudani,Canada,Fri Apr 17 18:09:10 +0000 2009,I'm an experienced Vancouver based HR professional working in the hospitality as well as high technology industry
JellyGrilly,,Sat Sep 24 03:49:42 +0000 2011,Go with the flow. Enjoy life to the fullest. F/T lazy student @SFU. P/T gamer.  Love: fashion; pedi/mani; coffee; and anything Cute    
dianatwiss,Vancouver; BC,Sun Jul 12 16:09:29 +0000 2009,Fearless knitter; spinner; advocate for literacy; runner; wife; mother; teacher and political junkie.
SimpleKal,,Sun Sep 18 02:02:20 +0000 2011,
cbcsusan,vancouver,Wed Feb 16 21:44:20 +0000 2011,
chiccoops,Vancouver; B.C.,Sat Jun 27 18:32:52 +0000 2009,crossfitter; BComm; team leader
TerryELawrence,Vancouver; V6A1Y3,Sat Jul 23 01:40:49 +0000 2011,Full time Geek;24/7  I prefer PC's; Linux/Android or Windows..I Will use an iPad if you hold me down and make me.  I love and respect all women.  
minney69,ÜT: 51.083792;-120.180976,Mon Mar 16 16:49:17 +0000 2009,
prarieguy64,,Mon Sep 12 21:00:13 +0000 2011,
GusInVan,Vancouver; BC,Tue Oct 12 23:51:51 +0000 2010,Father; brother;Techie; ex-VANOC; Proudly adopted Canadian; fascinated by astronomy and technology and many other interest. enjoying life in the wet coast.
archgirl360,Vancouver; B.C.,Mon Sep 12 05:19:06 +0000 2011,
rayray1059,vancity,Mon Sep 12 04:57:57 +0000 2011,all you have to do is ....ask!!!!
IPunjabbc,BC,Fri Sep 09 08:46:48 +0000 2011,PUNJABBC.com is your Free One Stop Resource for Everything from Indian Restaurants to Indian Shopping.  We are your PUNJAB Bazar; Hub; within British Columbia. 
limatob,New Westminster,Fri Jan 22 06:56:48 +0000 2010,Mom to two great little boys. Freelance writer and editor. Watcher of trashy TV. That's me.
mario_felicella,Vancouver; BC,Tue Mar 15 17:59:52 +0000 2011,Experienced Realtor with Sutton Group - West Coast Realty. A true Vancouverite; I have lived here all my life. Please contact me with any real estate questions.
14metro,USA,Mon Sep 05 23:06:48 +0000 2011,
uncleweed,iPhone: 49.286053;-123.142746,Mon Mar 12 18:25:21 +0000 2007,StoryMaker of international notoriety + enjoyer of beverages and herbs. Consider exploring my stories; essays; podcasts & prezos. Often kind to strangers.
buspicscanada,Canada,Tue Feb 22 06:46:03 +0000 2011,BusPics Twitter and Ernest Ng
jasoncragg,Vancouver; BC,Wed Jan 14 18:41:38 +0000 2009,Temporarily not a Rogue Canadian in DC  
